"Phishing URL","Target","URL_Size","NH","ND","NNC","IP","NL","L","JW","LCS","QG","H","status"
"holiday-rentcar.com","allegro.pl","19","1","1","0","0","0.84210526315789","16","0.5830409526825","21","27","18","phish"
"leadtrust.cn","tesco.com","12","0","1","0","0","0.83333333333333","10","0.59074074029922","13","17","11","phish"
"mechanicsburgeye.com","itau.com","20","0","1","0","0","0.7","14","0.49166667461395","16","20","20","phish"
"dstvinstallationsboksburg.co.za","capitecbank.co.za","31","0","2","0","0","0.64516129032258","20","0.62545615434647","26","36","30","phish"
"triff.com.br","capitecbank.co.za","12","0","2","0","0","0.76470588235294","13","0.52217555046082","19","23","16","phish"
"ccappal.org","capitecbank.co.za","11","0","1","0","0","0.70588235294118","12","0.63509041070938","16","22","16","phish"
"211.167.99.12","paypal.com","13","0","3","10","1","0.92307692307692","12","0.39230766892433","21","21","13","phish"
"pypl-webobjects.com","paypal.com","19","1","1","0","0","0.68421052631579","13","0.5830409526825","13","19","17","phish"
"supremecatalysts.com","capitecbank.co.za","20","0","1","0","0","0.75","15","0.5857298374176","23","27","18","phish"
"webmilbx.esy.es","allegro.pl","15","0","2","0","0","0.86666666666667","13","0.38888892531395","19","23","15","phish"
"ukfostering.org.uk","capitecbank.co.za","18","0","2","0","0","0.77777777777778","14","0.51334422826767","23","31","16","phish"
"batas.upnyk.ac.id","capitecbank.co.za","17","0","3","0","0","0.76470588235294","13","0.67379683256149","18","28","13","phish"
"flowersonthecobbles.co.uk","capitecbank.co.za","25","0","2","0","0","0.68","17","0.51869279146194","26","32","23","phish"
"aleciabanks.com","capitecbank.co.za","15","0","1","0","0","0.58823529411765","10","0.67225193977356","12","18","14","phish"
"igeo.co.id","capitecbank.co.za","10","0","2","0","0","0.64705882352941","11","0.53986930847168","15","19","17","phish"
"refillprinterlaser.com","capitecbank.co.za","22","0","1","0","0","0.72727272727273","16","0.57209348678589","23","31","20","phish"
"reachoutforschools.org","capitecbank.co.za","22","0","1","0","0","0.86363636363636","19","0.43379172682762","29","37","21","phish"
"desimonepartners.com","capitecbank.co.za","20","0","1","0","0","0.8","16","0.51165580749512","23","31","19","phish"
"4media.gr","capitecbank.co.za","9","0","1","1","0","0.82352941176471","14","0.47657951712608","20","24","17","phish"
"bbarreiro.com","capitecbank.co.za","13","0","1","0","0","0.76470588235294","13","0.55483734607697","20","20","16","phish"
"tuid.org.ua","capitecbank.co.za","11","0","2","0","0","0.82352941176471","14","0.44955435395241","18","26","17","phish"
"aaih.be","bradesco.com.br","7","0","1","0","0","0.8","12","0.44603177905083","16","18","15","phish"
"a53c5128c69f00815562092d3573423fac671238.google.comdrive.com","google.com","60","0","3","32","0","0.83333333333333","50","0.37222221493721","50","50","60","phish"
"hothotclip.ga","yahoo.com","13","0","1","0","0","0.84615384615385","11","0.5800569653511","14","18","11","phish"
"recovery.co.uk34.altervista.org","facebook.com","31","0","4","2","0","0.80645161290323","25","0.46018943190575","31","37","27","phish"
"pyplinfo.com","paypal.com","12","0","1","0","0","0.5","6","0.79884260892868","6","12","11","phish"
"quick-menus.com","santander.co.uk","15","1","1","0","0","0.86666666666667","13","0.43333330750465","22","24","14","phish"
"wzzalntmnm.metrolevante.com","poste.it","27","0","2","0","0","0.85185185185185","23","0.46604940295219","27","29","27","phish"
"message-code-ca-poker.gwchost.com","zynga.com","33","3","2","0","0","0.81818181818182","27","0.43569025397301","30","34","32","phish"
"paypa1services.cf","paypal.com","17","0","1","1","0","0.64705882352941","11","0.65098041296005","13","15","12","phish"
"zararmebo.eu","facebook.com","12","0","1","0","0","0.83333333333333","10","0.61111110448837","14","18","11","phish"
"clashatclairemont.com","capitecbank.co.za","21","0","1","0","0","0.71428571428571","15","0.64799255132675","20","32","20","phish"
"seowptemplate.com","capitecbank.co.za","17","0","1","0","0","0.76470588235294","13","0.56022411584854","20","26","17","phish"
"yelkentyapi.com","capitecbank.co.za","15","0","1","0","0","0.76470588235294","13","0.61830067634583","20","22","13","phish"
"andriy-koval.com","capitecbank.co.za","16","1","1","0","0","0.82352941176471","14","0.52118349075317","21","25","17","phish"
"myinsureauto.com","paypal.com","16","0","1","0","0","0.6875","11","0.54722219705582","14","18","16","phish"
"pcaction.org","paypal.com","12","0","1","0","0","0.75","9","0.5722222328186","14","20","11","phish"
"bit.ly","facebook.com","6","0","1","0","0","0.83333333333333","10","0.5","14","16","12","phish"
"docment.5gbfree.com","facebook.com","19","0","2","1","0","0.63157894736842","12","0.57090646028519","17","23","18","phish"
"bitly.com","facebook.com","9","0","1","0","0","0.66666666666667","8","0.5240740776062","11","13","12","phish"
"recove12.5gbfree.com","facebook.com","20","0","2","3","0","0.65","13","0.60555559396744","18","24","18","phish"
"human-consulting.at","google.com","19","1","1","0","0","0.89473684210526","17","0.37017545104027","23","25","19","phish"
"kevindeeveyarchitect.com","Amazon.com","24","0","1","0","0","0.79166666666667","19","0.36388888955116","24","26","24","phish"
"payp4l.com","paypal.com","10","0","1","1","0","0.1","1","0.95999997854233","2","4","1","phish"
"gestionautoecole.com","jpmorganchase.com","20","0","1","0","0","0.7","14","0.61114084720612","21","27","20","phish"
"hsatecnologia.com","jpmorganchase.com","17","0","1","0","0","0.76470588235294","13","0.59215688705444","20","26","13","phish"
"catalogo.far.bo.it","lloydsbank.com","18","0","3","0","0","0.77777777777778","14","0.47619047760963","22","28","18","phish"
"ccl.librosdelau.com","capitecbank.co.za","19","0","2","0","0","0.84210526315789","16","0.57151705026627","22","30","18","phish"
"carolinebergeriksen.no","capitecbank.co.za","22","0","1","0","0","0.72727272727273","16","0.53505641222","23","35","20","phish"
"spirulina.cl","capitecbank.co.za","12","0","1","0","0","0.70588235294118","12","0.45098039507866","19","23","16","phish"
"carlonitires.com","capitecbank.co.za","16","0","1","0","0","0.76470588235294","13","0.58619284629822","17","23","15","phish"
"rcevents.co.za","capitecbank.co.za","14","0","2","0","0","0.58823529411765","10","0.63417369127274","13","19","16","phish"
"villanickolas.gr","capitecbank.co.za","16","0","1","0","0","0.88235294117647","15","0.53186273574829","21","29","17","phish"
"q7zayiflama.org","capitecbank.co.za","15","0","1","1","0","0.82352941176471","14","0.52875816822052","22","28","15","phish"
"client-webomega.com.br","capitecbank.co.za","22","1","2","0","0","0.68181818181818","15","0.62477719783783","19","33","21","phish"
"alidenizsever.com","capitecbank.co.za","17","0","1","0","0","0.82352941176471","14","0.60784316062927","20","28","17","phish"
"multimeios.pt","capitecbank.co.za","13","0","1","0","0","0.88235294117647","15","0.42624434828758","22","28","17","phish"
"ywamne.org","capitecbank.co.za","10","0","1","0","0","0.82352941176471","14","0.53137254714966","19","25","16","phish"
"idlelive.com.com","capitecbank.co.za","16","0","2","0","0","0.82352941176471","14","0.52118349075317","21","27","17","phish"
"insahouse.dothome.co.kr","capitecbank.co.za","23","0","3","0","0","0.73913043478261","17","0.4920905828476","26","32","23","phish"
"ahtuttle.com","allegro.pl","12","0","1","0","0","0.83333333333333","10","0.5722222328186","14","18","11","phish"
"rotier-moto.com","apple.com","15","1","1","0","0","0.66666666666667","10","0.49629631638527","14","16","14","phish"
"screets.5gbfree.com","facebook.com","19","0","2","1","0","0.68421052631579","13","0.60296577215195","17","23","18","phish"
"welkom.000a.biz","ingdirect.com","15","0","2","3","0","0.93333333333333","14","0.42905983328819","22","24","15","phish"
"ow.ly","ingdirect.com","5","0","1","0","0","0.92307692307692","12","0","16","16","13","phish"
"ducom.com.ar","Amazon.com","12","0","2","0","0","0.66666666666667","8","0.64444446563721","12","14","12","phish"
"olievendevass.org.za","Amazon.com","20","0","2","0","0","0.9","18","0.51666665077209","22","28","20","phish"
"mail.imago.pt","Amazon.com","13","0","2","0","0","0.84615384615385","11","0.56153845787048","15","19","13","phish"
"wedrupal.com","paypal.com","12","0","1","0","0","0.41666666666667","5","0.76111108064651","8","8","12","phish"
"serwis.208.pl","itau.com","13","0","2","3","0","0.92307692307692","12","0.46794870495796","17","19","13","phish"
"amazing-skincare.nl","itau.com","19","1","1","0","0","0.89473684210526","17","0.40350878238678","21","25","18","phish"
"bit.ly","itau.com","6","0","1","0","0","0.75","6","0.625","8","10","8","phish"
"seasidevillagenorthbeach.com","apple.com","28","0","1","0","0","0.75","21","0.44576719403267","23","29","28","phish"
"115.119.138.247","natwest.com","15","0","3","12","1","0.93333333333333","14","0.38585856556892","24","24","14","phish"
"tinyurl.com","aol.com","11","0","1","0","0","0.54545454545455","6","0.7229437828064","8","8","11","phish"
"ponyairset.com","aol.com","14","0","1","0","0","0.64285714285714","9","0.30952382087708","11","13","13","phish"
"looksenhance.co.in","aol.com","18","0","2","0","0","0.77777777777778","14","0.53068786859512","17","19","17","phish"
"greensurvival.com.au","aol.com","20","0","2","0","0","0.75","15","0","15","17","20","phish"
"leadgadget.com","aol.com","14","0","1","0","0","0.64285714285714","9","0.30952382087708","11","13","14","phish"
"ambikamedical.in","aol.com","16","0","1","0","0","0.875","14","0.42757940292358","17","19","14","phish"
"photographyboom.com","aol.com","19","0","1","0","0","0.68421052631579","13","0.51065164804459","14","18","19","phish"
"centrobamboo.cl","aol.com","15","0","1","0","0","0.8","12","0.44603177905083","14","18","14","phish"
"bit.ly","aol.com","6","0","1","0","0","0.85714285714286","6","0.37301588058472","11","11","6","phish"
"hp.verifica.uifcrsknwu.jtorrent.com","poste.it","35","0","4","0","0","0.85714285714286","30","0.52261906862259","33","41","33","phish"
"onedrive.live.com.com","aol.com","21","0","3","0","0","0.76190476190476","16","0.41269841790199","16","20","21","phish"
"chase.com-trgn.logn.rbg.true.initiate-log-on.tss77.com","jpmorganchase.com","54","3","7","2","0","0.7962962962963","43","0.55140572786331","49","51","54","phish"
"prorrogado-walmart.com.zz.mu","walmart.com","28","1","3","0","0","0.60714285714286","17","0.67640686035156","17","17","27","phish"
"doorhan.waw.pl","aol.com","14","0","2","0","0","0.85714285714286","12","0.53571432828903","17","19","13","phish"
"nddyedutours.com","aol.com","16","0","1","0","0","0.6875","11","0.40178573131561","13","15","16","phish"
"apple.comverify.us","apple.com","18","0","2","0","0","0.5","9","0.91666662693024","9","9","9","phish"
"multcrass.esy.es","cielo.com","16","0","2","0","0","0.875","14","0.39583334326744","19","23","16","phish"
"secure75.securewebsession.com","cielo.com","29","0","2","2","0","0.75862068965517","22","0.44412517547607","24","30","29","phish"
"brindescadastrais.com","cielo.com","21","0","1","0","0","0.71428571428571","15","0.38095238804817","18","22","21","phish"
"zingardens.ca","itau.com","13","0","1","0","0","0.76923076923077","10","0.46794870495796","13","17","13","phish"
"programa-fidelidade-novo.com","cielo.com","28","2","1","0","0","0.71428571428571","20","0.44470903277397","21","25","28","phish"
"itau.compersonal.com","itau.com","20","0","2","0","0","0.6","12","0.87999999523163","12","12","12","phish"
"atualizadosbemelhor.webatu.com","itau.com","30","0","2","0","0","0.76666666666667","23","0.59444445371628","24","28","29","phish"
"ehapalsury.vzrjd.ga","blizzard.com","19","0","2","0","0","0.84210526315789","16","0.43859648704529","21","27","19","phish"
"aasoftware.in","google.com","13","0","1","0","0","0.84615384615385","11","0.51025640964508","17","19","13","phish"
"sonce.slap.si","santander.co.uk","13","0","2","0","0","0.8","12","0.56495726108551","18","26","13","phish"
"ctekcenter.com","ebay.com","14","0","1","0","0","0.64285714285714","9","0.59404760599136","12","14","14","phish"
"topcraigslist.org.org","craigslist.org","21","0","2","0","0","0.33333333333333","7","0.76984125375748","7","7","20","phish"
"bit.ly","cielo.com","6","0","1","0","0","0.77777777777778","7","0.5","11","13","8","phish"
"recomendoseucadastro.netai.net","itau.com","30","0","2","0","0","0.9","27","0.4638888835907","32","30","30","phish"
"superbemmasfacileseguro.vai.la","itau.com","30","0","2","0","0","0.9","27","0.4638888835907","32","36","29","phish"
"service-technique-formule.net","yahoo.com","29","2","1","0","0","0.89655172413793","26","0.44412517547607","32","36","29","phish"
"goo.gl","bradesco.com.br","6","0","1","0","0","0.8","12","0.48888888955116","15","17","15","phish"
"iceboxliquor.com.au","paypal.com","19","0","2","0","0","0.73684210526316","14","0.45438599586487","19","21","19","phish"
"verifica.mkgvvyyskk.atomitrans.com","poste.it","34","0","3","0","0","0.88235294117647","30","0.52401965856552","34","38","34","phish"
"104.46.55.66","bancobrasil.com.br","12","0","3","9","1","0.88888888888889","16","0.42592594027519","26","28","18","phish"
"remove-message-code-ca-zynga.com-poker.co.nf","zynga.com","44","5","3","0","0","0.79545454545455","35","0.42306399345398","35","35","44","phish"
"remove-code-ca.co.nf","zynga.com","20","2","2","0","0","0.8","16","0.46851852536201","21","21","20","phish"
"cleanenergycapitalllc.com","bankofamerica.com","25","0","1","0","0","0.68","17","0.61751633882523","22","28","23","phish"
"smartcarpetcare.net","apple.com","19","0","1","0","0","0.78947368421053","15","0.47290453314781","20","24","19","phish"
"use1402.5gbfree.com","facebook.com","19","0","2","5","0","0.73684210526316","14","0.54970759153366","19","23","19","phish"
"66.7.221.152","apple.com","12","0","3","9","1","0.91666666666667","11","0.39814814925194","19","19","12","phish"
"tinyurl.com","yahoo.com","11","0","1","0","0","0.63636363636364","7","0.6700336933136","10","12","11","phish"
"odunluzikkim.com","yahoo.com","16","0","1","0","0","0.75","12","0.48935186862946","15","17","16","phish"
"scooterdeck.com.au","aol.com","18","0","2","0","0","0.72222222222222","13","0.53068786859512","15","17","18","phish"
"update1.scsjhealthcare.com","aol.com","26","0","2","1","0","0.76923076923077","20","0.51465201377869","21","25","26","phish"
"oranjvm.nl","google.com","10","0","1","0","0","1","10","0.42222222685814","16","18","10","phish"
"bit.ly","google.com","6","0","1","0","0","0.9","9","0.34444442391396","14","14","9","phish"
"1drv.ms","yahoo.com","7","0","1","1","0","0.88888888888889","8","0.50264549255371","12","14","9","phish"
"betoncam.it","natwest.com","11","0","1","0","0","0.90909090909091","10","0.61471861600876","14","20","10","phish"
"pixella.org","jpmorganchase.com","11","0","1","0","0","0.82352941176471","14","0.52168750762939","20","22","16","phish"
"182.18.162.2","poste.it","12","0","3","9","1","0.91666666666667","11","0.40277779102325","18","18","12","phish"
"verifica.vkmcusxxsf.atomitrans.com","poste.it","34","0","3","0","0","0.88235294117647","30","0.52401965856552","34","38","34","phish"
"sannerudcollision.com","apple.com","21","0","1","0","0","0.71428571428571","15","0.46455025672913","18","22","20","phish"
"ariensofttech.com","apple.com","17","0","1","0","0","0.64705882352941","11","0.47657951712608","14","18","16","phish"
"baiguide.com","hotmail.com","12","0","1","0","0","0.58333333333333","7","0.68181818723679","11","13","11","phish"
"216.172.172.45","cielo.com","14","0","3","11","1","0.92857142857143","13","0.39417991042137","21","21","14","phish"
"computer.ieee-tsec.org","bradesco.com.br","22","1","2","0","0","0.81818181818182","18","0.6232323050499","23","31","21","phish"
"n8f2n28as-autotradr.com","google.com","23","1","1","4","0","0.78260869565217","18","0.3811594247818","23","25","23","phish"
"tvandmediaschool.com","tesco.com","20","0","1","0","0","0.55","11","0.61402118206024","11","19","19","phish"
"operapastacafe.com","aol.com","18","0","1","0","0","0.72222222222222","13","0.42063489556313","15","17","18","phish"
"allaccaccessrestore.be","jpmorganchase.com","22","0","1","0","0","0.77272727272727","17","0.53505641222","27","33","19","phish"
"alldodirect.be","jpmorganchase.com","14","0","1","0","0","0.88235294117647","15","0.48272642493248","23","29","17","phish"
"musicdanceart.com","aol.com","17","0","1","0","0","0.70588235294118","12","0.42390289902687","14","16","16","phish"
"atiutanfuto.hu","paypal.com","14","0","1","0","0","0.85714285714286","12","0.47857141494751","18","22","14","phish"
"outl0owebhelp.jimdo.com","microsoft.com","23","0","2","1","0","0.78260869565217","18","0.51903170347214","24","28","23","phish"
"hashvarsani.com","aol.com","15","0","1","0","0","0.66666666666667","10","0.40317460894585","12","14","15","phish"
"alzadmd.com","aol.com","11","0","1","0","0","0.54545454545455","6","0.68975472450256","6","10","10","phish"
"nfilzsec.tk","aol.com","11","0","1","0","0","0.81818181818182","9","0.48917749524117","14","16","11","phish"
"maaamaisllcomaaaol.com.esy.es","aol.com","29","0","3","0","0","0.75862068965517","22","0.63245755434036","22","22","29","phish"
"radhakrishnaplywood.com","aol.com","23","0","1","0","0","0.73913043478261","17","0.39544513821602","18","22","23","phish"
"durtools.com","aol.com","12","0","1","0","0","0.5","6","0.67460322380066","7","9","11","phish"
"gsbs.esy.es","aol.com","11","0","2","0","0","0.90909090909091","10","0.41125538945198","16","16","11","phish"
"hktop-link.com","aol.com","14","1","1","0","0","0.57142857142857","8","0.47619047760963","9","13","14","phish"
"rezhna.net","yahoo.com","10","0","1","0","0","0.8","8","0.43333330750465","15","17","10","phish"
"store.steampowered.com-wallet-money.com","store.steampowered.com","39","2","3","0","0","0.43589743589744","17","0.93666446208954","17","17","17","phish"
"hidraumak.com.br","bankofamerica.com","16","0","2","0","0","0.88235294117647","15","0.58619284629822","19","25","16","phish"
"tinyurl.com","google.com","11","0","1","0","0","0.63636363636364","7","0.65151518583298","11","13","11","phish"
"artemusgroupusa.com","aol.com","19","0","1","0","0","0.68421052631579","13","0.41771093010902","14","18","18","phish"
"1drv.ms","aol.com","7","0","1","1","0","1","7","0.52380949258804","10","12","7","phish"
"fuzoku.paaw.info","aol.com","16","0","2","0","0","0.875","14","0.47023808956146","17","21","16","phish"
"bizzsolution.com","aol.com","16","0","1","0","0","0.625","10","0.53869050741196","11","13","15","phish"
"tinyurl.com","microsoft.com","11","0","1","0","0","0.61538461538462","8","0.61344212293625","12","16","12","phish"
"superclubemaster.com","mastercard.com","20","0","1","0","0","0.65","13","0.6380952000618","14","14","20","phish"
"onedrive.live.com.com","yahoo.com","21","0","3","0","0","0.76190476190476","16","0.59788364171982","18","22","21","phish"
"kregoslup.org","wellsfargo.com","13","0","1","0","0","0.85714285714286","12","0.6039377450943","17","21","14","phish"
"mafkhj.ir","yahoo.com","9","0","1","0","0","0.88888888888889","8","0.55555558204651","12","16","8","phish"
"ia801505.us.archive.org","google.com","23","0","3","6","0","0.8695652173913","20","0.42898550629616","27","29","23","phish"
"martyniland.com","deutschebank.be","15","0","1","0","0","0.8","12","0.4277777671814","22","26","14","phish"
"69.183.32.121","capitecbank.co.za","13","0","3","10","1","0.94117647058824","16","0.42383107542992","26","28","17","phish"
"hyperrichenterprise.com","capitecbank.co.za","23","0","1","0","0","0.78260869565217","18","0.56616467237473","26","32","22","phish"
"paypal.comlimeited.com.cgi.bin.merchantpaymentweb.cmd.flowsession.05swpbtr7led4t7qtu1lzvqsevbd7tlnbmccsakt.zhjstqojh1sgkm5ruydispatch.50a222a57771920b6a3d7b606239e.vqsevbd7tlnbmccsaktmn.informatiion.com","paypal.com","202","0","13","32","0","0.95049504950495","192","0.68316835165024","192","192","192","phish"
"poste.it.3pe2JoEtOXOZ4E1Vq2icSX3qupXPH5Hw.ZmoiQtRfGf5AkvVQm5t6RlmBR0RZ5ZMT.B13SjKxqsqQeChH7QCN3pPKogj7v48mv.QL7E2mwi4RkaYhrbujGAuvhTUdENbr0r.37vuiSc143ObkqLJxM4itN4NSGo0GW3C.ppcomit.com","poste.it","185","0","8","32","0","0.95675675675676","177","0.68108111619949","177","177","177","phish"
"linuxsolutions.org.in","paypal.com","21","0","2","0","0","0.9047619047619","19","0.36984124779701","25","29","21","phish"
"costaverdeestates.com","paypal.com","21","0","1","0","0","0.71428571428571","15","0.36349210143089","19","23","20","phish"
"162.251.84.58","paypal.com","13","0","3","10","1","0.92307692307692","12","0.39230766892433","21","21","13","phish"
"canadianrugs.com","ebay.com","16","0","1","0","0","0.6875","11","0.29166665673256","14","16","16","phish"
"sharmansbutchery.com.au","paypal.com","23","0","2","0","0","0.73913043478261","17","0.50917875766754","21","25","23","phish"
"luxorhomes4sale.com","ebay.com","19","0","1","1","0","0.68421052631579","13","0.39985379576683","15","19","17","phish"
"facebook.comvivn.com","facebook.com","20","0","2","0","0","0.4","8","0.94666665792465","8","8","8","phish"
"sinhtulenh.net","facebook.com","14","0","1","0","0","0.92857142857143","13","0.43650794029236","22","24","14","phish"
"betsin.ro","wellsfargo.com","9","0","1","0","0","0.71428571428571","10","0.57089948654175","15","21","12","phish"
"unitubos.com","paypal.com","12","0","1","0","0","0.66666666666667","8","0.49444445967674","14","14","12","phish"
"longwhitedress.org","paypal.com","18","0","1","0","0","0.94444444444444","17","0.37777781486511","22","26","18","phish"
"poste.it.5cLzQzUFTWd296KsLxPAiZhDqDOejo6e.HGTX7ncQ06H82SqDG7DoWlsCo7hOldsk.BFhpiyod6mUOSXVPbAlDsnrpL7Qo9PqE.wVmkAGgmbv6zHKQHvT1ZBfl8wQmvfS1S.oc3ojZRAKNzRYGZKaQkcwLaicCU8VKP0.ppcomit.com","poste.it","185","0","8","22","0","0.95675675675676","177","0.68108111619949","177","177","177","phish"
"poste.it.yca0eiwjtd0uw2mytcgf1tep8or3zjgo.l7ngfkqydqsah6y1y57oa5lplefkktwh.84mhjblauchp1yevvs0wmlbypg91qvxn.oavybxovzvbpkfbfyb2am4zbaxrqjp5n.pbqcpcb4smztrnujo7ddy42qkaveoakp.ppcomit.com","poste.it","185","0","8","25","0","0.95675675675676","177","0.68108111619949","177","177","177","phish"
"poste.it.VWZ74PrDKrlvkHsm13dl7TeEetWZtzwF.MBFbtIlauXA2Gns9HT6ayA6hWVRLHWXT.YdvIlXiVujN1N7zUPuvEvrmHC4TJQrdp.KOywmWIX7WNKSDeiyQmj8Or0IBJZsmF4.24qdQy1NKEXcH2B7InfF3MFBOb72g1sa.ppcomit.com","poste.it","185","0","8","25","0","0.95675675675676","177","0.68108111619949","177","177","177","phish"
"dungeonrampage.net","google.com","18","0","1","0","0","0.77777777777778","14","0.4592592716217","18","24","16","phish"
"boracaygarden.com","yahoo.com","17","0","1","0","0","0.64705882352941","11","0.47657951712608","14","18","17","phish"
"report-page-system-inc.hol.es","facebook.com","29","3","2","0","0","0.86206896551724","25","0.39636015892029","33","39","29","phish"
"gerardoreyes.mx","barclays.co.uk","15","0","1","0","0","0.86666666666667","13","0.44285714626312","19","23","14","phish"
"weeride.pt","aol.com","10","0","1","0","0","1","10","0.41428574919701","15","15","10","phish"
"paypal.com.com.validation.securesession.net","paypal.com","43","0","5","0","0","0.76744186046512","33","0.80367767810822","33","33","33","phish"
"projetorestaurandovidas.com.br","allegro.pl","30","0","2","0","0","0.86666666666667","26","0.42222222685814","32","36","29","phish"
"tinyurl.com","facebook.com","11","0","1","0","0","0.66666666666667","8","0.48232325911522","15","15","12","phish"
"service-safety.wc.lt","facebook.com","20","1","2","0","0","0.8","16","0.48888888955116","24","28","20","phish"
"j.mp","zynga.com","4","0","1","0","0","0.88888888888889","8","0","9","11","9","phish"
"boletoexpressbr.com","lacaixa.es","19","0","1","0","0","0.78947368421053","15","0.45438599586487","21","25","19","phish"
"bit.ly","lacaixa.es","6","0","1","0","0","0.8","8","0.48888888955116","12","14","10","phish"
"rudratechnoserve.com","paypal.com","20","0","1","0","0","0.75","15","0.48333334922791","20","22","18","phish"
"pp1.vommihosting.com","paypal.com","20","0","2","1","0","0.75","15","0.58333331346512","18","22","19","phish"
"myonlinemediakit.com","ebay.com","20","0","1","0","0","0.7","14","0.48333334922791","16","20","20","phish"
"notification-paypal.com-co-uk.vommihosting.com","paypal.com","46","3","3","0","0","0.78260869565217","36","0.63913041353226","36","36","46","phish"
"actosguesthouse.com","paypal.com","19","0","1","0","0","0.78947368421053","15","0.48596492409706","19","21","19","phish"
"kashitu.cl","capitecbank.co.za","10","0","1","0","0","0.76470588235294","13","0.53137254714966","17","21","16","phish"
"gemeentezoekgids.nl","paypal.com","19","0","1","0","0","0.94736842105263","18","0.26842105388641","27","27","19","phish"
"ms1.spanchalhosting.com","paypal.com","23","0","2","1","0","0.65217391304348","15","0.54927533864975","17","21","23","phish"
"notice-esecur.com","paypal.com","17","1","1","0","0","0.76470588235294","13","0.46176472306252","19","19","17","phish"
"heart2heart.net","paypal.com","15","0","1","1","0","0.8","12","0.5","19","23","15","phish"
"193.34.8.10","paypal.com","11","0","3","8","1","0.90909090909091","10","0.39696970582008","19","19","10","phish"
"s.dropcanvas.com","paypal.com","16","0","2","0","0","0.5625","9","0.56964284181595","12","18","16","phish"
"dropcanvas.com","paypal.com","14","0","1","0","0","0.5","7","0.59047621488571","10","16","13","phish"
"superhumangym.com","microsoft.com","17","0","1","0","0","0.70588235294118","12","0.50721830129623","20","22","16","phish"
"superstarnimi.com","google.com","17","0","1","0","0","0.76470588235294","13","0.46470591425896","17","19","17","phish"
"currently.name","google.com","14","0","1","0","0","0.78571428571429","11","0.47857141494751","18","22","14","phish"
"ptqualityfurs.com","yahoo.com","17","0","1","0","0","0.70588235294118","12","0.38997820019722","16","18","17","phish"
"id8-app.com","apple.com","11","1","1","1","0","0.54545454545455","6","0.80471378564835","6","8","11","phish"
"apple.comid.apple.com.co.uk.cgi-bin.webobjects.myapple.comid.woa.verify3.id8-app.com","apple.com","84","2","13","2","0","0.89285714285714","75","0.73426872491837","75","75","75","phish"
"id9-app.net","apple.com","11","1","1","1","0","0.81818181818182","9","0.6026936173439","12","14","11","phish"
"portalnutricional.com","barclays.co.uk","21","0","1","0","0","0.76190476190476","16","0.56746035814285","21","29","20","phish"
"communicationmarketingcr.com","ebay.com","28","0","1","0","0","0.82142857142857","23","0.38095235824585","26","28","28","phish"
"nutrisportx.com","jpmorganchase.com","15","0","1","0","0","0.70588235294118","12","0.59869283437729","18","22","17","phish"
"blacklabeladvisory.com","santander.co.uk","22","0","1","0","0","0.77272727272727","17","0.521548807621","23","31","22","phish"
"103.29.216.67","paypal.com","13","0","3","10","1","0.92307692307692","12","0.39230766892433","21","21","12","phish"
"paypal.com.de-konto-2019x88-verifizierung.de","paypal.com","44","3","3","6","0","0.77272727272727","34","0.80096417665482","34","34","34","phish"
"bit.ly","paypal.com","6","0","1","0","0","0.9","9","0.48888888955116","14","14","10","phish"
